name,rank,gender,country,earnings_USD_2019
Rafael Nadal,1,men,Spain,16349586
Novak Djokovic,2,men,Serbia,13372355
Roger Federer,3,men,Switzerland,8716975
Dominic Thiem,4,men,Austria,8000223
Daniil Medvedev,5,men,Russia,7902912
Stefanos Tsitsipas,6,men,Greece,7488927
Alexander Zverev,7,men,Greece,4280635
Matteo Berrettini,8,men,Italy,3439783
Roberto Bautista Agut,9,men,Spain,2911522
Gael Monfils,10,men,France,2916587
David Goffin,11,men,Belgium,2764933
Fabio Fognini,12,men,Italy,2895013
Kei NishiSouth Koreai,13,men,Japan,2173244
Diego Schwartzman,14,men,Argentina,2468031
Denis Shapovalov,15,men,Canada,2207015
Stan Wawrinka,16,men,Switzerland,2128925
Karen Khachanov,17,men,Russia,2285081
Alex de Minaur,18,men,Australia,1979782
John Isner,19,men,United States,1781798
Grigor Dimitrov,20,men,Bulgaria,2117523
Felix Auger-Aliassime,21,men,Canada,1507622
Lucas Pouille,22,men,France,1634275
Andrey Rublev,23,men,Russia,1573436
Benoit Paire,24,men,France,1539066
Guido Pella,25,men,Argentina,1724447
Nikoloz Basilashvili,26,men,Georgia,1656857
Pablo Carreno Busta,27,men,Spain,1398997
Borna Coric,28,men,Croatia,1532057
Jo-Wilfried Tsonga,29,men,France,1059095
Nick Kyrgios,30,men,Australia,1384572
Milos Raonic,31,men,Canada,1291082
Taylor Fritz,32,men,United States,1275240
Cristian Garin,33,men,Chile,1170459
Dusan Lajovic,34,men,Serbia,1573032
Jan-Lennard Struff,35,men,Germany,1633401
Reilly Opelka,36,men,United States,1115817
Hubert Hurkacz,37,men,Poland,1228731
Laslo Djere,38,men,Serbia,1221097
Marin Cilic,39,men,Croatia,1359590
Filip Krajinovic,40,men,Serbia,922914
Albert Ramos-Vinolas,41,men,Spain,940266
Daniel Evans,42,men,Great Britain,887543
Adrian Mannarino,43,men,France,1113516
Sam Querrey,44,men,United States,1079494
Pablo Cuevas,45,men,Uruguay,966759
Radu Albot,46,men,Moldova,1145773
Frances Tiafoe,47,men,United States,1375737
John Millman,48,men,Australia,995238
Fernando Verdasco,49,men,Spain,1293590
Juan Ignacio Londero,50,men,,928189
Ashleigh Barty,1,women,Australia,11307587
Karolina Pliskova,2,women,Czech Republic,5138077
Naomi Osaka,3,women,Japan,6788282
Simona Halep,4,women,Romania,2037257
Bianca Andreescu,5,women,Canada,6504150
Elina Svitolina,6,women,Ukraine,6126335
Petra Kvitova,7,women,Czech Republic,3724430
Belinda Bencic,8,women,Switzerland,4113075
Kiki Bertens,9,women,Netherlands,4208026
Serena Williams,10,women,United States,4310515
Aryna Sabalenka,11,women,Belarus,3415687
Johanna Konta,12,women,Australia,2173945
Madison Keys,13,women,United States,2002588
Sofia Kenin,14,women,United States,2037257
Petra Martic,15,women,Croatia,1891881
Marketa Vondrousova,16,women,Czech Republic,2091225
Elise Mertens,17,women,Belgium,1123558
Alison Riske,18,women,United States,1461212
Donna Vekic,19,women,Croatia,1534830
Angelique Kerber,20,women,Germany,2137816
Karolina Muchova,21,women,Czech Republic,1155524
Dayana Yastremska,22,women,Ukraine,1224080
Maria Sakkari,23,women,Greece,1060223
Amanda Anisimova,24,women,United States,1199409
Sloane Stephens,25,women,United States,1804819
Anett Kontaveit,26,women,Estonia,1220473
Anastasija Sevastova,27,women,Latvia,1222432
Julia Goerges,28,women,Germany,1006212
Danielle Collins,29,women,United States,1397427
Qiang Wang,30,women,China,1316417
Anastasia Pavlyuchenkova,31,women,Russia,1023739
Su-Wei Hsieh,32,women,Taipei,2066334
Barbora Strycova,33,women,Czech Republic,2261392
Yulia Putintseva,34,women,Kazakhstan,931121
Ekaterina Alexandrova,35,women,Russia,826211
Garbiñe Muguruza,36,women,Spain,1025618
Elena Rybakina,37,women,Kazakhstan,355606
Caroline Wozniacki,38,women,Denmark,1726002
Kristina Mladenovic,39,women,France,1987075
Shuai Zhang,40,women,China,1661425
Veronika Kudermetova,41,women,Russia,843932
Saisai Zheng,42,women,China,1198526
Magda Linette,43,women,Poland,644465
Rebecca Peterson,44,women,Sweden,704109
Jelena Ostapenko,45,women,Latvia,1123812
Caroline Garcia,46,women,France,779416
Alison Van Uytvanck,47,women,Belgium,561145
Yafan Wang,48,women,China,715233
Polona Hercog,49,women,Slovenia,731932
Victoria Azarenka,50,women,Belarus,1076516